product_title,cleaned_review,aspects,sentiments,aspect_sentiment_dict,original_review,location,date,upvotes,downvotes
BoAt_Rockerz_235v2,it s a very good product i m so happy with this bcz its bass quality sounds is too good batry back up also super,['bass quality sounds'],['Positive'],{'bass quality sounds': 'Positive'},It's a very good product ... I'm so happy with this BCz its bass quality & sounds is too good & batry back up Also super,Bangalore,8 months ago,159,56
BoAt_Rockerz_235v2,nice build quality bass is best it self vibrate at call is nice nice support from flipkart and delivery partner,['build quality bass'],['Positive'],{'build quality bass': 'Positive'},Nice build quality.. bass is best it self.. vibrate at call is nice. .. nice support from flipkart and delivery partner,Padra,8 months ago,126,45
BoAt_Rockerz_235v2,after using for about days right side of the earphone is not working properly and the volume on right side is very low i didn t expect this,"['earphone', 'volume']","['Negative', 'Negative']","{'earphone': 'Negative', 'volume': 'Negative'}","After using for about 8 days, right side of the earphone is not working properly and the volume on right side is  very low. I didn't expect this.",Pune,8 months ago,136,80
BoAt_Rockerz_235v2,mic is not proper recipient persons can t hear proper sound every time for call i heard from front i can t hear you so i have to again talk to through mobile phone no option useless of wirless meaning and sound quality is so loud like local headphones not comfortable to wear for more than hrs of uses tere is no meanings to get replaced again you get same product therefore this is wast of money,"['mic', 'sound quality']","['Negative', 'Negative']","{'mic': 'Negative', 'sound quality': 'Negative'}",Mic is not proper recipient persons can't hear proper sound ( every time for call I heard from front I can't hear you so I have to again talk to through Mobile phone no Option useless of wirless meaning)  and sound quality is so loud. Like local headphones. not comfortable to wear for more than1 hrs of uses.tere is no meanings to get replaced again you get same product therefore this is wast of money.,Thane,8 months ago,155,134
BoAt_Rockerz_235v2,wow flip cart super fast service like express speed delivery i order am delivery at pm i am very happy boat bluetooth headset is very very excellent product fast charging super totally user friendly go for it,"['service', 'delivery', 'bluetooth headset', 'charging']","['Positive', 'Positive', 'Positive', 'Positive']","{'service': 'Positive', 'delivery': 'Positive', 'bluetooth headset': 'Positive', 'charging': 'Positive'}","Wow flip cart super fast service like  express speed delivery I order 11 am delivery At 5pm I am very happy,  boAt Bluetooth headset is very very excellent product fast charging super totally user friendly go for it",Bangalore,9 months ago,133,116
BoAt_Rockerz_235v2,very great product at this price i will assure that this is a value for money product and the bass and sound quality was awesome the build quality was great and this product has a mat finish which gives a class and flagship look this is the best and the fast charging technology was working very well and the ear are fixing suitable in our ear the music quality was great,"['bass', 'sound quality', 'build quality', 'mat finish', 'look', 'fast charging technology', 'music quality']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive']","{'bass': 'Positive', 'sound quality': 'Positive', 'build quality': 'Positive', 'mat finish': 'Positive', 'look': 'Positive', 'fast charging technology': 'Positive', 'music quality': 'Positive'}",Very great product at this price I will assure that this is a value for money product and the bass and sound quality was awesome the build quality was great 👌 and this product has a mat finish which gives a class and flagship look this is the best and the fast charging technology was working very well and the ear are fixing suitable in our ear the music quality was great,Kollam District,8 months ago,23,7
BoAt_Rockerz_235v2,it s very good and its bass is very high this bluetooth is very good best value or money but battery is too tiny battery backup is not long time but it s realy fast charging support so little battery is comfortable with fast charging,"['bass', 'bluetooth', 'value', 'battery', 'charging support']","['Positive', 'Positive', 'Positive', 'Negative', 'Positive']","{'bass': 'Positive', 'bluetooth': 'Positive', 'value': 'Positive', 'battery': 'Negative', 'charging support': 'Positive'}",It's very good and its bass is very high This bluetooth is very good best value or money but battery is too tiny.....Battery backup is not long time but it's realy fast charging support so little battery is comfortable with fast charging,Ramdaspur Urf Nagal,"Mar, 2020",20,5
BoAt_Rockerz_235v2,good product never used bluetooth headset before now i am happy to see ease in my work as i noticed boat marketing their products aggressively in market in recent days about product it s like awesome having better build quality bass is good battery backup is fine and vibration though it vibrates my neck when ever i gets call but still feature is must needed when u are driving wanted to give star but there is a sentence that nothing is perfect in this imperfect world,"['build quality bass', 'battery backup']","['Positive', 'Positive']","{'build quality bass': 'Positive', 'battery backup': 'Positive'}","Good product. Never used bluetooth headset before. Now I am happy to see ease in my work. As I noticed boat marketing their products aggressively in market in recent days. About product it's like awesome having better build quality, bass is good, battery backup is fine and vibration though it vibrates my neck when ever I gets call but still feature is must needed when u are driving. Wanted to give 5star but there is a sentence that "" Nothing is perfect in this imperfect world"" 😄😄😉",Bengaluru,7 months ago,22,2
BoAt_Rockerz_235v2,this review is after month of use pro battery backup is genuinely too good runs almost days on a single charge and hrs on continuous playback charge very fast just in minutes sound is crisp clear and decent not too loud build quality is awsome nd stylish as well connectivity is super fast nd good with phones last but not the least its really comfort able nd i didn t feel any discomfort or pain even after continous use of hrs which i,"['battery backup', 'sound', 'build quality', 'connectivity']","['Positive', 'Positive', 'Positive', 'Positive']","{'battery backup': 'Positive', 'sound': 'Positive', 'build quality': 'Positive', 'connectivity': 'Positive'}","This review is after 1 month of use .Pro:- 1.Battery backup is genuinely too good, runs almost 1.5 -2 days on a single charge.. and 8hrs on continuous playback.2. Charge very fast,,, 40% just in 15-20 minutes3. Sound is crisp,clear and decent, not too loud.  4. Build quality is awsome nd stylish as well.5.connectivity is super fast nd good with phones.6. Last but not the least,,, its really comfort able nd i didn't feel any discomfort or pain even after continous use of 5 hrs which i ...",New Delhi,8 months ago,20,4
BoAt_Rockerz_235v2,i like it boat hp sound quality is bestm best and bass quality is to good and new v product is to good fast charging is besttt to save charging timeing,"['hp sound quality', 'bass quality', 'fast charging']","['Positive', 'Positive', 'Positive']","{'hp sound quality': 'Positive', 'bass quality': 'Positive', 'fast charging': 'Positive'}",I like It Boat HP Sound Quality is bestm best And Bass Quality is to good And New V2 product is to good & Fast charging is besttt to save charging  timeing....,Amravati,8 months ago,39,5
BoAt_Rockerz_235v2,hi seekers i am writing this review after weeks of daily use lets start with pros and cons pros sounds quality is good bass is good enough look is okay as per this price range all essential controls are provided backup is decentconsxx bluetooth range is too short even if you are walking by holding phone in your hand you will feel connection disturbances at all times xx in case of battery get low it continuously gives you a voice signals in every seconds i found its ver,"['sounds quality', 'bass', 'look', 'controls', 'bluetooth range', 'connection']","['Positive', 'Positive', 'Positive', 'Positive', 'Negative', 'Negative']","{'sounds quality': 'Positive', 'bass': 'Positive', 'look': 'Positive', 'controls': 'Positive', 'bluetooth range': 'Negative', 'connection': 'Negative'}","Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons Pros-✓Sounds Quality is good✓ Bass is good enough✓ Look is okay as per this price range ✓ All essential controls are provided✓ Backup is decentConsxx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver...",Mirzapur District,8 months ago,20,1
BoAt_Rockerz_235v2,great product i loved it as i was using level u this product is much more better than that though battery life is just like hrs and bass like goosebumps but when increased bass earplugs starts raddling vibrate feature is awesome,"['battery life', 'bass', 'feature']","['Negative', 'Negative', 'Positive']","{'battery life': 'Negative', 'bass': 'Negative', 'feature': 'Positive'}",Great product.. I loved it.. As I was using level U.. This product is much more better than that.. Though battery life is just like 8hrs and bass like goosebumps... But when increased bass earplugs starts raddling.. Vibrate feature is awesome..,Bengaluru,8 months ago,20,10
BoAt_Rockerz_235v2,awesome product happy to have one good sound quality in medium volume with equalizer app could complete the high bass sound battery last long min of charge to enjoy whole day very light weight easy to carry,"['sound quality', 'battery', 'weight', 'carry']","['Positive', 'Positive', 'Positive', 'Positive']","{'sound quality': 'Positive', 'battery': 'Positive', 'weight': 'Positive', 'carry': 'Positive'}","Awesome product happy to have one.Good sound quality in medium volume, with equalizer app could complete the high bass sound. Battery last long 20 min of charge to enjoy whole day.Very light weight, Easy to carry,",Bhopal,8 months ago,24,1
BoAt_Rockerz_235v2,it s a very good product i m so happy with this bcz it s bass quality sounds is too good battery backup also superb,"['bass quality sounds', 'battery backup']","['Positive', 'Positive']","{'bass quality sounds': 'Positive', 'battery backup': 'Positive'}",It's a very good product... I'm so happy with this Bcz it's bass quality & sounds is too good & battery backup also superb,Paschim Bardhaman District,1 month ago,27,4
BoAt_Rockerz_235v2,amazing product sound quality was awesome it has deep bass which i really wanted i am really satisfied and battery backup was also nice and it also had fast charging facilities,"['sound quality', 'battery backup', 'charging']","['Positive', 'Positive', 'Positive']","{'sound quality': 'Positive', 'battery backup': 'Positive', 'charging': 'Positive'}","Amazing product   Sound quality was awesome, it has deep bass which I really wanted, I am really satisfied and battery backup was also nice and it also had fast charging facilities",Kolkata,7 months ago,34,3
BoAt_Rockerz_235v2,i think it is the best product in this price segment i buy this product after seeing it s sell figure and my decision got right u must buy this product i love it s sound quality but the build quality must be improved and they must give charging adaptor out of the box,"['sound quality', 'build quality', 'charging adaptor']","['Positive', 'Negative', 'Negative']","{'sound quality': 'Positive', 'build quality': 'Negative', 'charging adaptor': 'Negative'}",I think it is the best product in this price segment I buy this product after seeing it's sell figure and my decision got right u must buy this product I love it's sound quality but the build quality must be improved and they must give charging adaptor out of the box,Gorakhpur,8 months ago,20,0
BoAt_Rockerz_235v2,best product at this price loved it thank you flipkart for safe delivery,['delivery'],['Positive'],{'delivery': 'Positive'},Best product at this price loved it. Thank you flipkart for safe delivery 💯😃,Ahmadnagar,8 months ago,24,5
BoAt_Rockerz_235v2,excellent voice clarity superb bass for music lovers overall a very good product,"['voice clarity', 'bass']","['Positive', 'Positive']","{'voice clarity': 'Positive', 'bass': 'Positive'}",Excellent voice clarity superb bass for music lovers. Overall a very good product.,Singur,7 months ago,20,1
BoAt_Rockerz_235v2,this earphone is just awsome yaar everything is just so perfect yaar just go for it blindly i tell you u cant find a best product at this price its awsome,"['earphone', 'price']","['Positive', 'Positive']","{'earphone': 'Positive', 'price': 'Positive'}","This earphone is just awsome yaar , everything is just so perfect yaar just go for it blindly ,i tell you u cant find a best product at this price its awsome👌👌👌👌",Nalanda District,8 months ago,20,4
BoAt_Rockerz_235v2,it is an amazing product for this price less weight flexible super sound extra feature is call vibration nice one try it,"['weight', 'sound']","['Positive', 'Positive']","{'weight': 'Positive', 'sound': 'Positive'}",It is an amazing product.. For this price... Less weight.. Flexible.. Super sound... Extra feature is call vibration.. Nice one.. Try it..,Arani Tiruvannamalai District,8 months ago,21,4
BoAt_Rockerz_235v2,the product was good enough stylish blur color with well designed earphones coming to the specifications sound and bass was superb value for money batery backup is also good around hours life no lag in pubg highly satisfied but have to wait and see how long it works like this,"['color', 'earphones', 'sound', 'bass', 'batery backup']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","{'color': 'Positive', 'earphones': 'Positive', 'sound': 'Positive', 'bass': 'Positive', 'batery backup': 'Positive'}",The product was good enough.. Stylish blur color with well designed earphones.. Coming to the specifications sound and bass was superb... Value for money... Batery backup is also good around 6 hours life.... No lag in PUBG... Highly satisfied but have to wait and see how long it works like this,Achampet,8 months ago,14,2
BoAt_Rockerz_235v2,boat headset is very clear voice and bass is v good and plus point is fast charging mint to hrs batery backup one of the best bluetooth headset osmmm products,"['voice', 'bass', 'charging', 'bluetooth']","['Positive', 'Positive', 'Positive', 'Positive']","{'voice': 'Positive', 'bass': 'Positive', 'charging': 'Positive', 'bluetooth': 'Positive'}",Boat headset is very clear voice and bass is v good and plus point is fast charging 20 mint to 4 hrs batery backup... One of the best bluetooth headset....osmmm products,Yamunanagar,8 months ago,17,3
BoAt_Rockerz_235v2,a fine product i would say well crafted design and good build quality good fit and comfortable to wear enough bass to provide u good sound experience although not the most premium quality but still considering the price it s well ahead of it manages lows and highs well sound mixing and good listening experience when it comes to music video and others the only con i noticed was the microphone i think this device is not built for calling sometimes the voice is not eve,"['design', 'build quality', 'fit', 'sound', 'sound mixing', 'microphone']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Negative']","{'design': 'Positive', 'build quality': 'Positive', 'fit': 'Positive', 'sound': 'Positive', 'sound mixing': 'Positive', 'microphone': 'Negative'}","A fine product i would say , well crafted design and good build quality ..  good fit and comfortable to wear ... enough bass to provide u good sound experience .. although not the most premium quality but still considering the price it's well ahead of it .. manages lows and highs well, sound mixing and good listening experience when it comes to music video and others ..the only CON i noticed was the microphone .. i think this device is not built for calling ... sometimes the voice is not eve...",Ajmer,7 months ago,11,1
BoAt_Rockerz_235v2,good product very fast delivery with in hours only superb color love it,"['delivery', 'color']","['Positive', 'Positive']","{'delivery': 'Positive', 'color': 'Positive'}",Good product very fast delivery (with in 36 hours only) superb color love it,Vijayawada,8 months ago,13,1
BoAt_Rockerz_235v2,boat rockerz v is the budget blutooth hearphone all are very good performance only sound quality is slightly poor vibration and battery backup is the best part in this product bass also very great just lysric clearing not proper,"['blutooth', 'battery backup']","['Positive', 'Positive']","{'blutooth': 'Positive', 'battery backup': 'Positive'}",Boat rockerz 235 v2 is the budget blutooth hearphone. All are very good performance only sound quality is slightly poor.. vibration and battery backup is the best part in this product. Bass also very great .. just lysric clearing not proper,Nandgaonpeth Midc,8 months ago,6,0
BoAt_Rockerz_235v2,if you are a bass lover then blindly go for it and i think hours of backup is enough and hours charge in mins what else we want superb,['bass'],['Positive'],{'bass': 'Positive'},If you are a bass lover then blindly go for it . And I think 8 hours of backup is enough and 4 hours charge in 20 mins .what else we want . Superb,Hisar,8 months ago,5,0
BoAt_Rockerz_235v2,review after about months of usage before starting let me be clear this device is not for serious music lovers audiophiles i m not gonna repeat the same technical aspects of it you already know what s inside it so coming to the sound if you just love some bass and heavy sounds this earphone will become your best buddy in no time the volume on this is insane i only use it at max it s very loud so no complaints there if you ve used some premium earphone from brands lik,"['bass', 'volume']","['Negative', 'Negative']","{'bass': 'Negative', 'volume': 'Negative'}","Review after about 2months of usage.Before starting let me be clear, THIS DEVICE IS NOT FOR SERIOUS MUSIC LOVERS/AUDIOPHILES.I'm not gonna repeat the same technical aspects of it, you already know what's inside it. So...Coming to the sound, if you just love some BASS and heavy sounds this earphone will become your best buddy in no time. The volume on this is insane. I only use it at 20-30% max. It's very loud. So no complaints there.If you've used some premium earphone from brands lik...",Shivamogga,1 month ago,12,2
BoAt_Rockerz_235v2,im a jbl user boat v battery is too good to stay days fast charging bass is of but sound of vocal is of mic is good although i bought this in in this range its good,"['battery', 'bass']","['Positive', 'Positive']","{'battery': 'Positive', 'bass': 'Positive'}",Im a jbl user ..boat 235v2 battery is too good to stay 2 days..fast charging..bass is 5 of 5 but sound of vocal is 4 of 5.. mic is good ..although i bought this in 1299 ..in this range its good,Barrackpore,8 months ago,8,1
BoAt_Rockerz_235v2,the boat v is really good it s sounds very clear and also good bass if you think buy a bluetooth headset go for it just sounds and battery backup is awesome,"['sounds', 'bass', 'bluetooth', 'battery backup']","['Positive', 'Positive', 'Positive', 'Positive']","{'sounds': 'Positive', 'bass': 'Positive', 'bluetooth': 'Positive', 'battery backup': 'Positive'}",The boat 235v2 is really good it's sounds very clear and also good bass. If you think buy a Bluetooth headset go for It. Just sounds and battery backup is awesome.,Barasat,8 months ago,18,5
BoAt_Rockerz_235v2,above from my expectation after reading the review i opted for not to purchase this product but guys you won t believe it really work too good sound quality superb bass overall it is lovelly one will make ur day sweet bass lover will loved it this boat v is better than boult pro bass product coz i ordered both the earphone jst as to compare the quality and boat rockerz is jst uncomaprable perfect tune superb acaustic voice calling is far better that boult earphone,"['sound quality', 'bass', 'tune']","['Positive', 'Positive', 'Positive']","{'sound quality': 'Positive', 'bass': 'Positive', 'tune': 'Positive'}","Above from my expectation, after reading the review i opted for not to purchase this product but guys you won't believe it really work, too good sound quality, superb bass overall it is lovelly one....will make ur day sweet.......bass lover will loved it.This boat 235v2 is better than boult pro bass product coz i ordered both the earphone jst as to compare the quality and boat rockerz is jst uncomaprable...perfect tune...superb acaustic....voice calling is far better that boult earphone........",Pathardih,7 months ago,12,2
BoAt_Rockerz_235v2,i brought this product as i was looking for a sweat proof headset for my workouts i got it for and i have to say that am pretty satisfied with the features and the quality that the headset has to deliver i would definitely recommend this product to my family and friends just go for it,['features'],['Positive'],{'features': 'Positive'},I brought this product as I was looking for a sweat proof headset for my workouts. I got it for 899 and I have to say that am pretty satisfied with the features and the quality that the headset has to deliver. I would definitely recommend this product to my family and friends. Just go for it !!!,Bengaluru,8 months ago,12,2
BoAt_Rockerz_235v2,ti s is my first bluetooth headset it is wonderful and color is more attractive and the sound quality is good and it is good product and value of money is star and battery is good,"['bluetooth', 'color', 'sound quality', 'value of money', 'battery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","{'bluetooth': 'Positive', 'color': 'Positive', 'sound quality': 'Positive', 'value of money': 'Positive', 'battery': 'Positive'}",Ti's is my first Bluetooth headset it is wonderful and color is more attractive and the sound quality is good and it is good product and value of money is 5star and battery is good,Bengaluru,9 months ago,12,3
BoAt_Rockerz_235v2,very decent look product give superb bass mic quality is okok design and build is superb in this price range it worth it,"['bass mic quality', 'design', 'build']","['Positive', 'Positive', 'Positive']","{'bass mic quality': 'Positive', 'design': 'Positive', 'build': 'Positive'}",Very decent look product. Give superb bass. Mic quality is okok. Design and build is superb. In this price range it worth it.,Surat,8 months ago,19,7
BoAt_Rockerz_235v2,good quality and good product you have to take you will enjoy i just love it,['quality'],['Positive'],{'quality': 'Positive'},Good quality and good product you have to take you will enjoy 👍😍 I just love it 🔥🔥🔥💞,Dharwad,8 months ago,18,6
BoAt_Rockerz_235v2,awsome sound quality bass is awsome degin is good battery backup much good,"['sound quality bass', 'degin', 'battery backup']","['Positive', 'Positive', 'Positive']","{'sound quality bass': 'Positive', 'degin': 'Positive', 'battery backup': 'Positive'}",Awsome Sound Quality 5 * !!Bass Is Awsome 5* !!Degin is Good 3* !!Battery backup much Good 4* !!,Gorakhpur,8 months ago,11,2
BoAt_Rockerz_235v2,it so nice but nickband so tall but otherwise is best headphone call vibraion and fast charging nice product,"['nickband', 'headphone', 'charging']","['Negative', 'Positive', 'Positive']","{'nickband': 'Negative', 'headphone': 'Positive', 'charging': 'Positive'}",It so nice but nickband so tall but otherwise is best headphone call vibraion and fast charging nice product.....,Namakkal,8 months ago,11,2
BoAt_Rockerz_235v2,it s a awesome purchase value for money i can t expect that type of sound and connectivity will get in this price range last time i bought boult ear buds and refunded due to charging issue and connectivity issue that sound was not as powerful as this boat headphone provides really happy to advise all of you if are searching for bluetooth headphones please go for it you will get everything you are searching for thanks flipcart and request all of you please go for only indian products,"['value', 'sound', 'connectivity', 'charging']","['Positive', 'Negative', 'Negative', 'Negative']","{'value': 'Positive', 'sound': 'Negative', 'connectivity': 'Negative', 'charging': 'Negative'}",It's a Awesome purchase. Value for money. I can't expect that type of sound and connectivity will get in this price range. Last time I bought Boult ear buds and refunded due to charging issue and connectivity issue.  That sound was not as powerful as this Boat headphone provides. Really happy to advise all of you if are searching for Bluetooth headphones please go for it. You will get everything you are searching for.  Thanks Flipcart. And request all of you please go for only Indian Products.,Paschim Bardhaman District,8 months ago,14,4
BoAt_Rockerz_235v2,very nice very satisfied and sound quality very good bass is excellent overall worth it,"['sound quality', 'bass']","['Positive', 'Positive']","{'sound quality': 'Positive', 'bass': 'Positive'}",Very nice very satisfied and sound quality very good bass is excellent overall worth it,Pimpri Chinchwad,2 months ago,4,0
BoAt_Rockerz_235v2,first of all it looks very perfect and is non fragile and awesome experience using this just fast delivery and well packed just perfect qs a product can be and the best part is its mindblowing sound quality thunping my ears,"['looks', 'delivery', 'sound quality']","['Positive', 'Positive', 'Positive']","{'looks': 'Positive', 'delivery': 'Positive', 'sound quality': 'Positive'}",First of all it looks very perfect and is non fragile and awesome experience using this.....just fast delivery and well packed ....just perfect qs a product can be...and the best part is its mindblowing sound quality thunping my ears.....,Dhanbad,7 months ago,3,0
BoAt_Rockerz_235v2,i think for this price range it s one of the best available in market sound quality is good and loudness is nothing short of excellence bluetooth connectivity is too good satisfactory with looks and build quality could have been better,"['sound quality', 'bluetooth connectivity', 'looks', 'quality']","['Positive', 'Positive', 'Positive', 'Positive']","{'sound quality': 'Positive', 'bluetooth connectivity': 'Positive', 'looks': 'Positive', 'quality': 'Positive'}","I think for this price range, it's one of the best available in market. sound quality is good and loudness is nothing short of excellence. Bluetooth connectivity is too good. Satisfactory with looks and build quality, could have been better.",Chennai,7 months ago,4,0
BoAt_Rockerz_235v2,i have ordered headset reallyyyy awesome highly recommended for all good quality great supporting ear bud bass was veryyyy nyc,"['quality', 'ear bud bass']","['Positive', 'Negative']","{'quality': 'Positive', 'ear bud bass': 'Negative'}",i have ordered 2 headset reallyyyy awesome highly recommended for all good quality great supporting ear bud bass was veryyyy nyc,Tuticorin,8 months ago,4,0
BoAt_Rockerz_235v2,perfect sound for the perfect pricei have been using it from three months everything is working good and best compare to another boat earphone i just don t know why the company not issued any warranty for it thanq,"['sound', 'pricei', 'warranty']","['Positive', 'Positive', 'Negative']","{'sound': 'Positive', 'pricei': 'Positive', 'warranty': 'Negative'}",Perfect sound for the perfect priceI have been using it from three months everything is working good and best compare to another boat earphone. I just don't know why the company not issued any warranty for it.                          THANQ,Bengaluru,9 months ago,16,7
BoAt_Rockerz_235v2,thanks flipkart its was a wonderful time that i got it its awesome n wonderful build stylish build well company has approved much n fantastic headset thanks to the company,"['flipkart', 'build']","['Positive', 'Positive']","{'flipkart': 'Positive', 'build': 'Positive'}",thanks flipkart its was a wonderful time that i got it.. its awesome .. n wonderful build stylish build.. well company has approved much n fantastic headset .. thanks to the company..,Tinsukia,8 months ago,8,2
BoAt_Rockerz_235v2,awesome one nice i buyed nurepublic headphons for my brother comparing with that boat headset is the best one but the battery backup is best in nu republic,['battery backup'],['Positive'],{'battery backup': 'Positive'},awesome one  nice i buyed nurepublic headphons for my brother comparing with that boat headset is the best one but the battery backup is best in nu republic,Kaipamangalam,8 months ago,5,1
